column_number, radial distance, total stars, total sterilizations- at least sterilized once
418,12525,1393920,0
419,12555,1377720,0
420,12585,1361160,0
421,12615,1345680,0
422,12645,1330920,0
423,12675,1317240,0
424,12705,1300680,0
425,12735,1290240,0
426,12765,1271160,0
427,12795,1256760,0
428,12825,1247400,0
429,12855,1235160,0
430,12885,1220040,0
431,12915,1201320,0
432,12945,1190160,0
433,12975,1177560,0
434,13005,1168560,0
435,13035,1152720,0
436,13065,1138320,0
437,13095,1129680,0
438,13125,1116000,0
439,13155,1105560,0
440,13185,1087920,0
441,13215,1081440,0
442,13245,1066680,0
443,13275,1055160,0
444,13305,1046160,0
445,13335,1033920,0
446,13365,1020600,0
447,13395,1009440,0
448,13425,996480,0
449,13455,990360,0
450,13485,976680,0
451,13515,968040,0
452,13545,954360,0
453,13575,942840,0
454,13605,937800,0
455,13635,925560,0
456,13665,914040,0
457,13695,902880,0
458,13725,894600,0
459,13755,881280,0
460,13785,876960,0
461,13815,865080,0
462,13845,852480,0
463,13875,846720,0
464,13905,837360,0
465,13935,830520,0
466,13965,820080,0
467,13995,810720,0
468,14025,800640,0
469,14055,792720,0
470,14085,779760,0
471,14115,773640,0
472,14145,765360,0
473,14175,754560,0
474,14205,747360,0
475,14235,739440,0
476,14265,735120,0
477,14295,723240,0
478,14325,714600,0
479,14355,704880,0
480,14385,696240,0
481,14415,691920,0
482,14445,682200,0
483,14475,674280,0
484,14505,667080,0
485,14535,659880,0
486,14565,653400,0
487,14595,645480,0
488,14625,639720,0
489,14655,627840,0
490,14685,627840,0
491,14715,620280,0
492,14745,610920,0
493,14775,602280,0
494,14805,594360,0
495,14835,589320,0
496,14865,582840,0
497,14895,577080,0
498,14925,571680,0
499,14955,565920,0
500,14985,560520,0
501,15015,550440,0
502,15045,544680,0
503,15075,541800,0
504,15105,532080,0
505,15135,527040,0
506,15165,515880,0
507,15195,514080,0
508,15225,510840,0
509,15255,503280,0
510,15285,498240,0
511,15315,491040,0
The following results are multiplied by 360 such that they apply to the entire Galaxy
Number of TypeII: 9483840 Number of TypeIa: 1017000 Total Sterilizations SNII: 0 Total Sterilizations Ia: 0 Total stellar mass: 1.37997e+09Number of SNII: 6586560
Number of SNIa: 627840
