column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,0
2,45,1283760,0
3,75,2106000,0
4,105,2913120,0
5,135,3694680,0
6,165,4453920,0
7,195,5193720,0
8,225,5911560,0
9,255,6614640,0
10,285,7291800,0
11,315,7952760,0
12,345,8595000,0
13,375,9215280,0
14,405,9826200,0
15,435,10415160,0
16,465,10986120,0
17,495,11538360,0
18,525,12073680,0
19,555,12593880,0
20,585,13098240,0
21,615,13592520,0
22,645,14065200,0
23,675,14524560,0
24,705,14968080,0
25,735,15399360,0
26,765,15811920,0
27,795,16218000,0
28,825,16607160,0
29,855,16982640,0
30,885,17345160,0
31,915,17698320,0
32,945,18032760,0
33,975,18360360,0
34,1005,18672120,0
35,1035,18978120,0
36,1065,19267200,0
37,1095,19545840,0
38,1125,19818360,0
39,1155,20078640,0
40,1185,20327760,0
41,1215,20563560,0
42,1245,20790360,0
43,1275,21011040,0
44,1305,21221640,0
45,1335,21420000,0
46,1365,21614760,0
47,1395,21796560,0
48,1425,21970080,0
49,1455,22135680,0
50,1485,22291920,0
51,1515,22443840,0
52,1545,22579920,0
53,1575,22716720,0
54,1605,22843440,0
55,1635,22960080,0
56,1665,23073840,0
57,1695,23176440,0
58,1725,23272920,0
59,1755,23361840,0
60,1785,23446800,0
61,1815,23526720,0
62,1845,23599440,0
63,1875,23669280,0
64,1905,23726880,0
65,1935,23778360,0
66,1965,23832000,0
67,1995,23873040,0
68,2025,23910480,0
69,2055,23949720,0
70,2085,23973120,0
71,2115,23995440,0
72,2145,24014880,0
73,2175,24029280,0
74,2205,24034680,0
75,2235,24040800,0
76,2265,24036120,0
77,2295,24032160,0
78,2325,24033240,0
79,2355,24017040,0
80,2385,23997600,0
81,2415,23974920,0
82,2445,23954760,0
83,2475,23928120,0
84,2505,23896440,0
85,2535,23859720,0
86,2565,23824440,0
87,2595,23788080,0
88,2625,23740200,0
89,2655,23693400,0
90,2685,23646960,0
91,2715,23592960,0
92,2745,23534640,0
93,2775,23478480,0
94,2805,23418360,0
95,2835,23355720,0
96,2865,23290560,0
97,2895,23222520,0
98,2925,23151960,0
99,2955,23078160,0
100,2985,23005080,0
101,3015,22928400,0
102,3045,22847400,0
103,3075,22767840,0
104,3105,22686840,0
105,3135,22603680,0
106,3165,22514760,0
107,3195,22428000,0
108,3225,22341960,0
109,3255,22249080,0
110,3285,22156200,0
111,3315,22064400,0
112,3345,21970800,0
113,3375,21872520,0
114,3405,21774600,0
115,3435,21678120,0
116,3465,21575520,0
117,3495,21474720,0
118,3525,21368160,0
119,3555,21264120,0
120,3585,21157920,0
121,3615,21056760,0
122,3645,20949120,0
123,3675,20844000,0
124,3705,20736720,0
125,3735,20627640,0
126,3765,20509920,0
127,3795,20408400,0
128,3825,20291400,0
129,3855,20182320,0
130,3885,20066040,0
131,3915,19956240,0
132,3945,19842480,0
133,3975,19731960,0
134,4005,19616400,0
135,4035,19497960,0
136,4065,19383120,0
137,4095,19272960,0
138,4125,19154160,0
139,4155,19039320,0
140,4185,18922320,0
141,4215,18804960,0
142,4245,18687240,0
143,4275,18568800,0
144,4305,18452880,0
145,4335,18337320,0
146,4365,18218880,0
147,4395,18101520,0
148,4425,17982720,0
149,4455,17868960,0
150,4485,17750160,0
151,4515,17626680,0
152,4545,17512560,0
153,4575,17391960,0
154,4605,17274600,0
155,4635,17157960,0
156,4665,17038800,0
157,4695,16926840,0
158,4725,16806960,0
159,4755,16687440,0
160,4785,16569360,0
161,4815,16454880,0
162,4845,16337880,0
163,4875,16219800,0
164,4905,16103160,0
165,4935,15983640,0
166,4965,15869880,0
167,4995,15756120,0
168,5025,15641280,0
169,5055,15525000,0
170,5085,15412680,0
171,5115,15296400,0
172,5145,15184440,0
173,5175,15073560,0
174,5205,14952960,0
175,5235,14844240,0
176,5265,14731200,0
177,5295,14618160,0
178,5325,14507280,0
179,5355,14392800,0
180,5385,14284080,0
181,5415,14175000,0
182,5445,14063040,0
183,5475,13952160,0
184,5505,13842000,0
185,5535,13735800,0
186,5565,13625280,0
187,5595,13515480,0
188,5625,13410360,0
189,5655,13302720,0
190,5685,13199040,0
191,5715,13089960,0
192,5745,12984840,0
193,5775,12881520,0
194,5805,12773520,0
195,5835,12670560,0
196,5865,12564000,0
197,5895,12463560,0
198,5925,12361680,0
199,5955,12260880,0
200,5985,12158280,0
201,6015,12052800,0
202,6045,11957040,0
203,6075,11859120,0
204,6105,11760120,0
205,6135,11659320,0
206,6165,11563200,0
207,6195,11464920,0
208,6225,11368080,0
209,6255,11272320,0
210,6285,11176560,0
211,6315,11079360,0
212,6345,10985040,0
213,6375,10890720,0
214,6405,10796400,0
215,6435,10703880,0
216,6465,10611360,0
217,6495,10519920,0
218,6525,10426680,0
219,6555,10334880,0
220,6585,10248120,0
221,6615,10153800,0
222,6645,10066320,0
223,6675,9979920,0
224,6705,9892800,0
225,6735,9803880,0
226,6765,9719280,0
227,6795,9629640,0
228,6825,9545400,0
229,6855,9459360,0
230,6885,9373680,0
231,6915,9291240,0
232,6945,9210240,0
233,6975,9127080,0
234,7005,9043200,0
235,7035,8966880,0
236,7065,8884440,0
237,7095,8798400,0
238,7125,8722080,0
239,7155,8641440,0
240,7185,8560800,0
241,7215,8484480,0
242,7245,8407440,0
243,7275,8329680,0
244,7305,8250480,0
245,7335,8179560,0
246,7365,8102880,0
247,7395,8029800,0
248,7425,7954560,0
249,7455,7880040,0
250,7485,7805160,0
251,7515,7734960,0
252,7545,7660080,0
253,7575,7593120,0
254,7605,7521120,0
255,7635,7453440,0
256,7665,7379640,0
257,7695,7311960,0
258,7725,7241760,0
259,7755,7171920,0
260,7785,7110000,0
261,7815,7038000,0
262,7845,6976440,0
263,7875,6907320,0
264,7905,6842880,0
265,7935,6772320,0
266,7965,6708960,0
267,7995,6649200,0
268,8025,6585120,0
269,8055,6520680,0
270,8085,6460920,0
271,8115,6400440,0
272,8145,6334920,0
273,8175,6275880,0
274,8205,6215040,0
275,8235,6153480,0
276,8265,6094440,0
277,8295,6033600,0
278,8325,5980320,0
279,8355,5920560,0
280,8385,5861160,0
281,8415,5805000,0
282,8445,5751000,0
283,8475,5694480,0
284,8505,5638680,0
285,8535,5585760,0
286,8565,5526360,0
287,8595,5473800,0
288,8625,5419440,0
289,8655,5367240,0
290,8685,5313960,0
291,8715,5261760,0
292,8745,5211720,0
293,8775,5157720,0
294,8805,5107680,0
295,8835,5054400,0
296,8865,5008320,0
297,8895,4958280,0
298,8925,4908600,0
299,8955,4857480,0
300,8985,4812120,0
301,9015,4765320,0
302,9045,4713840,0
303,9075,4670640,0
304,9105,4624200,0
305,9135,4581000,0
306,9165,4533120,0
307,9195,4482720,0
308,9225,4439160,0
309,9255,4394160,0
310,9285,4350600,0
311,9315,4306680,0
312,9345,4263840,0
313,9375,4220640,0
314,9405,4177080,0
315,9435,4138560,0
316,9465,4092120,0
317,9495,4051440,0
318,9525,4016160,0
319,9555,3970800,0
320,9585,3931920,0
321,9615,3888720,0
322,9645,3856680,0
323,9675,3812400,0
324,9705,3775680,0
325,9735,3735720,0
326,9765,3697560,0
327,9795,3660480,0
328,9825,3623760,0
329,9855,3584160,0
330,9885,3548520,0
331,9915,3513960,0
332,9945,3476160,0
333,9975,3437640,0
334,10005,3407400,0
335,10035,3366720,0
336,10065,3334320,0
337,10095,3301560,0
338,10125,3266640,0
339,10155,3232800,0
340,10185,3199320,0
341,10215,3164760,0
342,10245,3132360,0
343,10275,3099960,0
344,10305,3070800,0
345,10335,3038400,0
346,10365,3005640,0
347,10395,2974320,0
348,10425,2948040,0
349,10455,2917440,0
350,10485,2878920,0
351,10515,2851560,0
352,10545,2822040,0
353,10575,2793600,0
354,10605,2763000,0
355,10635,2738520,0
356,10665,2707200,0
357,10695,2674440,0
358,10725,2650320,0
359,10755,2621880,0
360,10785,2596680,0
361,10815,2569680,0
362,10845,2539080,0
363,10875,2516760,0
364,10905,2490120,0
365,10935,2462040,0
366,10965,2433240,0
367,10995,2413080,0
368,11025,2385360,0
369,11055,2359440,0
370,11085,2331360,0
371,11115,2307240,0
372,11145,2285280,0
373,11175,2263680,0
374,11205,2236680,0
375,11235,2211840,0
376,11265,2188440,0
377,11295,2167560,0
378,11325,2143440,0
379,11355,2117880,0
380,11385,2099880,0
381,11415,2073600,0
382,11445,2050920,0
383,11475,2030400,0
384,11505,2011320,0
385,11535,1986840,0
386,11565,1968840,0
387,11595,1948680,0
388,11625,1927080,0
389,11655,1907280,0
390,11685,1883880,0
391,11715,1865160,0
392,11745,1843560,0
393,11775,1824840,0
394,11805,1803600,0
395,11835,1785240,0
396,11865,1769760,0
397,11895,1749960,0
398,11925,1727280,0
399,11955,1709280,0
400,11985,1692360,0
401,12015,1670760,0
402,12045,1653480,0
403,12075,1640160,0
404,12105,1620000,0
405,12135,1601640,0
406,12165,1585080,0
407,12195,1568160,0
408,12225,1551600,0
409,12255,1532520,0
410,12285,1519920,0
411,12315,1500480,0
412,12345,1484640,0
413,12375,1470600,0
414,12405,1452960,0
415,12435,1433520,0
416,12465,1418400,0
417,12495,1407600,0
