column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,27000
2,45,1283760,61560
3,75,2106000,152280
4,105,2913120,129240
5,135,3694680,418320
6,165,4453920,617400
7,195,5193720,919800
8,225,5911560,927720
9,255,6614640,1296360
10,285,7291800,1444680
11,315,7952760,1292400
12,345,8595000,1923480
13,375,9215280,3014280
14,405,9826200,2403360
15,435,10415160,2882160
16,465,10986120,3377520
17,495,11538360,3029040
18,525,12073680,3557520
19,555,12593880,4013640
20,585,13098240,4913280
21,615,13592520,4195440
22,645,14065200,3987360
23,675,14524560,3563280
24,705,14968080,4013640
25,735,15399360,4831920
26,765,15811920,4844520
27,795,16218000,4581000
28,825,16607160,5136840
29,855,16982640,6014160
30,885,17345160,5466960
31,915,17698320,5541480
32,945,18032760,6035760
33,975,18360360,6699240
34,1005,18672120,6379560
35,1035,18978120,6080760
36,1065,19267200,6773040
37,1095,19545840,6483600
38,1125,19818360,6575760
39,1155,20078640,7144920
40,1185,20327760,6784200
41,1215,20563560,6311520
42,1245,20790360,5599800
43,1275,21011040,5788080
44,1305,21221640,5897160
45,1335,21420000,6844680
46,1365,21614760,7574760
47,1395,21796560,6617520
48,1425,21970080,6716520
49,1455,22135680,7063560
50,1485,22291920,7529760
51,1515,22443840,6695640
52,1545,22579920,7576920
53,1575,22716720,6757920
54,1605,22843440,6041160
55,1635,22960080,8155440
56,1665,23073840,7096680
57,1695,23176440,6251760
58,1725,23272920,6705360
59,1755,23361840,7473960
60,1785,23446800,6658920
61,1815,23526720,7510320
62,1845,23599440,7013160
63,1875,23669280,6634080
64,1905,23726880,6282720
65,1935,23778360,6789600
66,1965,23832000,6007320
67,1995,23873040,6194520
68,2025,23910480,6440400
69,2055,23949720,6661800
70,2085,23973120,5573520
71,2115,23995440,6551280
72,2145,24014880,7381440
73,2175,24029280,6642000
74,2205,24034680,6090120
75,2235,24040800,7327440
76,2265,24036120,6623640
77,2295,24032160,6431400
78,2325,24033240,5014800
79,2355,24017040,6029640
80,2385,23997600,6107040
81,2415,23974920,7377120
82,2445,23954760,5864040
83,2475,23928120,5196960
84,2505,23896440,4914720
85,2535,23859720,5797080
86,2565,23824440,5149440
87,2595,23788080,4584960
88,2625,23740200,5082120
89,2655,23693400,5549400
90,2685,23646960,6190560
91,2715,23592960,5834880
92,2745,23534640,5461920
93,2775,23478480,4237200
94,2805,23418360,4212720
95,2835,23355720,5832360
96,2865,23290560,4586040
97,2895,23222520,4862160
98,2925,23151960,4764600
99,2955,23078160,4572360
100,2985,23005080,4847040
101,3015,22928400,4676040
102,3045,22847400,3894120
103,3075,22767840,4078080
104,3105,22686840,5635080
105,3135,22603680,4327200
106,3165,22514760,3693600
107,3195,22428000,4306680
108,3225,22341960,4172040
109,3255,22249080,4375440
110,3285,22156200,4213800
111,3315,22064400,3689640
112,3345,21970800,3625200
113,3375,21872520,3686040
114,3405,21774600,4080240
115,3435,21678120,3508560
116,3465,21575520,2914200
117,3495,21474720,3183840
118,3525,21368160,3685680
119,3555,21264120,3321360
120,3585,21157920,3855600
121,3615,21056760,2892960
122,3645,20949120,2949480
123,3675,20844000,2774160
124,3705,20736720,3190320
125,3735,20627640,3199680
126,3765,20509920,2954880
127,3795,20408400,3104280
128,3825,20291400,3011400
129,3855,20182320,2923920
130,3885,20066040,2613600
131,3915,19956240,2357280
132,3945,19842480,2366640
133,3975,19731960,2127960
134,4005,19616400,2215080
135,4035,19497960,2867760
136,4065,19383120,2341080
137,4095,19272960,2163960
138,4125,19154160,2490840
139,4155,19039320,2203560
140,4185,18922320,2273760
141,4215,18804960,3281400
142,4245,18687240,2708640
143,4275,18568800,1868760
144,4305,18452880,2432880
145,4335,18337320,1620720
146,4365,18218880,1779120
147,4395,18101520,1877040
148,4425,17982720,1630440
149,4455,17868960,1855800
150,4485,17750160,1926000
151,4515,17626680,1391760
152,4545,17512560,1686600
153,4575,17391960,2102760
154,4605,17274600,1427400
155,4635,17157960,1473840
156,4665,17038800,1555920
157,4695,16926840,1987920
158,4725,16806960,1871280
159,4755,16687440,2025000
160,4785,16569360,1627560
161,4815,16454880,1593000
162,4845,16337880,1937880
163,4875,16219800,1925280
164,4905,16103160,1580040
165,4935,15983640,1206360
166,4965,15869880,1922760
167,4995,15756120,1430280
168,5025,15641280,1194840
169,5055,15525000,1377360
170,5085,15412680,1221840
171,5115,15296400,1385280
172,5145,15184440,1229400
173,5175,15073560,996480
174,5205,14952960,1003680
175,5235,14844240,1039680
176,5265,14731200,1679760
177,5295,14618160,990720
178,5325,14507280,1137240
179,5355,14392800,946080
180,5385,14284080,1108800
181,5415,14175000,1009080
182,5445,14063040,631080
183,5475,13952160,877680
184,5505,13842000,1073160
185,5535,13735800,1235520
186,5565,13625280,1422000
187,5595,13515480,1144440
188,5625,13410360,1000800
189,5655,13302720,683640
190,5685,13199040,839160
191,5715,13089960,965160
192,5745,12984840,622080
193,5775,12881520,869400
194,5805,12773520,703440
195,5835,12670560,922320
196,5865,12564000,523440
197,5895,12463560,717840
198,5925,12361680,717480
199,5955,12260880,557280
200,5985,12158280,612720
201,6015,12052800,491400
202,6045,11957040,450360
203,6075,11859120,560160
204,6105,11760120,552240
205,6135,11659320,456840
206,6165,11563200,538920
207,6195,11464920,434160
208,6225,11368080,680040
209,6255,11272320,504720
210,6285,11176560,531720
211,6315,11079360,382680
212,6345,10985040,660240
213,6375,10890720,411480
214,6405,10796400,708840
215,6435,10703880,719640
216,6465,10611360,571320
217,6495,10519920,509040
218,6525,10426680,422640
219,6555,10334880,502560
220,6585,10248120,419040
221,6615,10153800,451800
222,6645,10066320,340560
223,6675,9979920,367560
224,6705,9892800,459720
225,6735,9803880,322560
226,6765,9719280,382680
227,6795,9629640,470880
228,6825,9545400,423000
229,6855,9459360,457920
230,6885,9373680,316440
231,6915,9291240,272880
232,6945,9210240,433800
233,6975,9127080,412560
234,7005,9043200,424080
235,7035,8966880,306360
236,7065,8884440,164520
237,7095,8798400,238680
238,7125,8722080,365400
239,7155,8641440,309960
240,7185,8560800,355680
241,7215,8484480,261000
242,7245,8407440,157680
243,7275,8329680,396360
244,7305,8250480,365760
245,7335,8179560,267840
246,7365,8102880,237240
247,7395,8029800,254880
248,7425,7954560,194040
249,7455,7880040,253800
250,7485,7805160,380520
251,7515,7734960,262800
252,7545,7660080,216720
253,7575,7593120,237240
254,7605,7521120,259560
255,7635,7453440,187560
256,7665,7379640,158400
257,7695,7311960,246960
258,7725,7241760,213840
259,7755,7171920,182160
260,7785,7110000,239400
261,7815,7038000,123480
262,7845,6976440,89280
263,7875,6907320,229320
264,7905,6842880,129600
265,7935,6772320,107280
266,7965,6708960,82800
267,7995,6649200,123480
268,8025,6585120,77400
269,8055,6520680,78480
270,8085,6460920,207000
271,8115,6400440,191880
272,8145,6334920,150120
273,8175,6275880,141480
274,8205,6215040,163800
275,8235,6153480,108360
276,8265,6094440,141840
277,8295,6033600,159840
278,8325,5980320,114120
279,8355,5920560,119880
280,8385,5861160,139320
281,8415,5805000,86400
282,8445,5751000,81000
283,8475,5694480,83160
284,8505,5638680,160560
285,8535,5585760,106560
286,8565,5526360,106200
287,8595,5473800,41400
288,8625,5419440,112320
289,8655,5367240,92160
290,8685,5313960,78120
291,8715,5261760,158040
292,8745,5211720,162720
293,8775,5157720,86400
294,8805,5107680,104760
295,8835,5054400,144000
296,8865,5008320,50760
297,8895,4958280,55800
298,8925,4908600,93600
299,8955,4857480,127080
300,8985,4812120,136440
301,9015,4765320,48240
302,9045,4713840,35640
303,9075,4670640,86040
304,9105,4624200,96840
305,9135,4581000,91440
306,9165,4533120,69480
307,9195,4482720,51480
308,9225,4439160,72360
309,9255,4394160,60840
310,9285,4350600,71280
311,9315,4306680,39240
312,9345,4263840,104760
313,9375,4220640,47880
314,9405,4177080,33480
315,9435,4138560,29160
316,9465,4092120,48960
317,9495,4051440,59760
318,9525,4016160,36720
319,9555,3970800,29880
320,9585,3931920,36360
321,9615,3888720,34560
322,9645,3856680,66960
323,9675,3812400,41040
324,9705,3775680,52920
325,9735,3735720,47520
326,9765,3697560,49320
327,9795,3660480,22320
328,9825,3623760,50760
329,9855,3584160,30240
330,9885,3548520,32040
331,9915,3513960,28080
332,9945,3476160,20520
333,9975,3437640,49680
334,10005,3407400,25560
335,10035,3366720,36000
336,10065,3334320,15480
337,10095,3301560,20160
338,10125,3266640,29880
339,10155,3232800,20160
340,10185,3199320,22680
341,10215,3164760,22680
342,10245,3132360,34920
343,10275,3099960,19800
344,10305,3070800,27720
345,10335,3038400,21600
346,10365,3005640,12960
347,10395,2974320,15840
348,10425,2948040,18000
349,10455,2917440,31680
350,10485,2878920,33840
351,10515,2851560,19800
352,10545,2822040,23040
353,10575,2793600,20520
354,10605,2763000,11520
355,10635,2738520,16560
356,10665,2707200,11880
357,10695,2674440,27000
358,10725,2650320,32760
359,10755,2621880,30600
360,10785,2596680,18720
361,10815,2569680,23760
362,10845,2539080,15840
363,10875,2516760,5760
364,10905,2490120,3240
365,10935,2462040,3600
366,10965,2433240,7560
367,10995,2413080,21600
368,11025,2385360,33840
369,11055,2359440,20160
370,11085,2331360,12240
371,11115,2307240,23400
372,11145,2285280,29520
373,11175,2263680,3960
374,11205,2236680,19080
375,11235,2211840,10080
376,11265,2188440,5760
377,11295,2167560,3600
378,11325,2143440,6120
379,11355,2117880,15120
380,11385,2099880,11520
381,11415,2073600,14760
382,11445,2050920,26640
383,11475,2030400,22680
384,11505,2011320,24480
385,11535,1986840,7200
386,11565,1968840,4320
387,11595,1948680,16920
388,11625,1927080,14760
389,11655,1907280,12240
390,11685,1883880,6480
391,11715,1865160,4320
392,11745,1843560,360
393,11775,1824840,4680
394,11805,1803600,720
395,11835,1785240,8640
396,11865,1769760,7920
397,11895,1749960,3600
398,11925,1727280,12600
399,11955,1709280,12960
400,11985,1692360,5040
401,12015,1670760,3960
402,12045,1653480,2520
403,12075,1640160,1440
404,12105,1620000,2880
405,12135,1601640,5760
406,12165,1585080,9000
407,12195,1568160,5760
408,12225,1551600,2880
409,12255,1532520,8640
410,12285,1519920,2880
411,12315,1500480,0
412,12345,1484640,3240
413,12375,1470600,8280
414,12405,1452960,2160
415,12435,1433520,15120
